"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio"
2021,"NYJ",713,365,3959,1667,1.95342465753425
2021,"PHI",663,509,3843,2810,1.30255402750491
2021,"PIT",803,419,4232,1639,1.91646778042959
2021,"SEA",599,383,3815,2074,1.56396866840731
2021,"SF",676,568,4972,2487,1.19014084507042
2021,"TB",894,411,5983,1829,2.17518248175182
2021,"TEN",661,561,3965,2544,1.17825311942959
2021,"WAS",675,440,3746,2061,1.53409090909091
2022,"ARI",793,400,3966,1873,1.9825
2022,"ATL",513,524,2927,2718,0.979007633587786
2022,"BAL",627,512,3428,2875,1.224609375
2022,"BUF",792,403,4907,2403,1.96526054590571
2022,"CAR",540,470,3246,2210,1.14893617021277
2022,"CHI",535,485,2598,3014,1.10309278350515
2022,"CIN",861,414,5241,1822,2.07971014492754
2022,"CLE",660,493,3710,2490,1.33874239350913
2022,"DAL",710,566,4422,2502,1.25441696113074
2022,"DEN",708,418,4007,1935,1.69377990430622
2022,"DET",664,465,4444,2179,1.42795698924731
2022,"GB",641,436,3890,2113,1.47018348623853
2022,"HOU",674,379,3642,1476,1.77836411609499
2022,"IND",719,421,3855,1866,1.70783847980998
2022,"JAX",777,465,4653,2377,1.67096774193548
2022,"KC",890,433,5976,2311,2.0554272517321
2022,"LA",630,382,3506,1661,1.64921465968586
2022,"LAC",847,395,5064,1591,2.14430379746835
2022,"LV",683,414,4182,2057,1.64975845410628
2022,"MIA",725,387,4985,1728,1.8733850129199
2022,"MIN",814,400,5089,1722,2.035
2022,"NE",637,389,3815,1832,1.63753213367609
2022,"NO",588,448,3969,1982,1.3125
2022,"NYG",749,490,3867,2779,1.52857142857143
2022,"NYJ",712,391,4040,1686,1.82097186700767
2022,"PHI",758,611,4943,3040,1.24058919803601
2022,"PIT",684,466,3661,2073,1.46781115879828
2022,"SEA",738,409,4535,2146,1.80440097799511
2022,"SF",679,579,4692,2735,1.1727115716753
2022,"TB",891,389,5097,1360,2.29048843187661
2022,"TEN",558,462,3227,2131,1.20779220779221
2022,"WAS",666,511,3783,2143,1.30332681017613
