"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio","third_down_attempts","third_down_conversions","fourth_down_attempts","fourth_down_conversions","total_late_attempts","total_late_conversions","conversion_rate","dropbacks","sacks","sack_rate","success_plays","total_plays","success_rate"
2016,"MIA",587,420,4005,1881,1.39761904761905,208,77,8,2,216,79,0.365740740740741,587,35,0.0596252129471891,421,1007,0.418073485600794
2016,"MIN",665,372,4119,1222,1.78763440860215,222,87,18,8,240,95,0.395833333333333,665,38,0.0571428571428571,440,1037,0.424300867888139
2016,"NE",801,531,5593,2157,1.50847457627119,287,146,13,9,300,155,0.516666666666667,801,33,0.0411985018726592,596,1332,0.447447447447447
2016,"NO",732,401,5258,1754,1.82543640897756,231,113,15,13,246,126,0.51219512195122,732,27,0.0368852459016393,546,1133,0.481906443071492
2016,"NYG",705,402,4326,1502,1.75373134328358,241,86,20,10,261,96,0.367816091954023,705,24,0.0340425531914894,450,1107,0.40650406504065
2016,"NYJ",641,396,3645,1798,1.61868686868687,221,88,19,8,240,96,0.4,641,35,0.0546021840873635,421,1037,0.405978784956606
2016,"PHI",697,423,3798,1827,1.64775413711584,236,92,28,13,264,105,0.397727272727273,697,33,0.0473457675753228,492,1120,0.439285714285714
2016,"PIT",765,487,5112,2185,1.57084188911704,250,108,17,9,267,117,0.438202247191011,765,23,0.0300653594771242,578,1252,0.461661341853035
2016,"SEA",753,414,4871,1892,1.81884057971015,241,99,14,7,255,106,0.415686274509804,753,48,0.0637450199203187,514,1167,0.44044558697515
2016,"SF",615,412,3166,2029,1.49271844660194,227,79,19,11,246,90,0.365853658536585,615,47,0.0764227642276423,408,1027,0.397273612463486
2016,"TB",698,421,4165,1636,1.65795724465558,232,108,10,4,242,112,0.462809917355372,698,35,0.0501432664756447,492,1119,0.439678284182306
2016,"TEN",597,452,3720,2201,1.32079646017699,223,105,11,4,234,109,0.465811965811966,597,28,0.0469011725293132,475,1049,0.452812202097235
2016,"WAS",673,372,4948,1709,1.80913978494624,207,96,14,7,221,103,0.46606334841629,673,23,0.0341753343239227,502,1045,0.480382775119617
2017,"ARI",714,391,3979,1400,1.82608695652174,250,95,17,8,267,103,0.385767790262172,714,52,0.0728291316526611,429,1105,0.388235294117647
2017,"ATL",673,472,4574,2070,1.42584745762712,237,105,17,6,254,111,0.437007874015748,673,30,0.0445765230312036,510,1145,0.445414847161572
2017,"BAL",624,444,3235,1873,1.40540540540541,229,85,16,10,245,95,0.387755102040816,624,27,0.0432692307692308,454,1068,0.425093632958801
2017,"BUF",644,467,3213,2164,1.37901498929336,269,117,16,3,285,120,0.421052631578947,644,49,0.0760869565217391,430,1111,0.387038703870387
2017,"CAR",650,472,3668,2234,1.3771186440678,245,109,15,8,260,117,0.45,650,39,0.06,461,1122,0.410873440285205
2017,"CHI",572,411,3085,1795,1.39172749391728,216,79,18,8,234,87,0.371794871794872,572,39,0.0681818181818182,379,983,0.385554425228891
2017,"CIN",588,355,3386,1384,1.65633802816901,209,78,12,5,221,83,0.375565610859729,588,40,0.0680272108843537,370,943,0.39236479321315
2017,"CLE",724,340,3537,1717,2.12941176470588,233,82,25,14,258,96,0.372093023255814,724,50,0.069060773480663,409,1064,0.384398496240602
2017,"DAL",607,450,3326,2178,1.34888888888889,216,94,20,10,236,104,0.440677966101695,607,32,0.0527182866556837,462,1057,0.437086092715232
2017,"DEN",694,422,3668,1864,1.64454976303318,251,103,21,9,272,112,0.411764705882353,694,52,0.0749279538904899,429,1116,0.384408602150538
2017,"DET",682,352,4470,1230,1.9375,221,87,9,1,230,88,0.382608695652174,682,47,0.0689149560117302,422,1034,0.408123791102515
2017,"GB",696,343,3532,1732,2.02915451895044,224,93,28,15,252,108,0.428571428571429,696,51,0.0732758620689655,469,1039,0.451395572666025
2017,"HOU",660,429,3644,1845,1.53846153846154,223,90,10,5,233,95,0.407725321888412,660,54,0.0818181818181818,440,1089,0.404040404040404
2017,"IND",612,405,3226,1672,1.51111111111111,237,96,17,8,254,104,0.409448818897638,612,56,0.0915032679738562,393,1017,0.386430678466077
2017,"JAX",706,595,4310,2702,1.18655462184874,278,109,15,12,293,121,0.41296928327645,706,29,0.0410764872521246,544,1301,0.418139892390469
2017,"KC",685,389,4590,1952,1.76092544987147,223,92,11,3,234,95,0.405982905982906,685,41,0.0598540145985401,475,1074,0.442271880819367
2017,"LA",633,448,4282,2091,1.41294642857143,233,99,16,7,249,106,0.42570281124498,633,31,0.0489731437598736,460,1081,0.425531914893617
2017,"LAC",639,405,4551,1615,1.57777777777778,218,90,12,6,230,96,0.417391304347826,639,18,0.028169014084507,468,1044,0.448275862068966
2017,"LV",635,364,3761,1564,1.74450549450549,218,89,25,9,243,98,0.403292181069959,635,24,0.0377952755905512,414,999,0.414414414414414
2017,"MIA",673,356,3792,1395,1.89044943820225,214,72,25,7,239,79,0.330543933054393,673,33,0.0490341753343239,404,1029,0.392614188532556
2017,"MIN",719,520,4518,2148,1.38269230769231,261,123,10,1,271,124,0.457564575645756,719,30,0.0417246175243394,527,1239,0.425343018563358
2017,"NE",833,504,5771,2167,1.65277777777778,253,115,16,10,269,125,0.464684014869888,833,39,0.0468187274909964,660,1337,0.493642483171279
2017,"NO",664,475,5004,2215,1.39789473684211,212,83,17,13,229,96,0.419213973799127,664,23,0.0346385542168675,522,1139,0.458296751536435
2017,"NYG",690,388,3680,1559,1.77835051546392,240,83,22,8,262,91,0.347328244274809,690,35,0.0507246376811594,442,1078,0.410018552875696
2017,"NYJ",607,410,3501,1717,1.48048780487805,238,90,14,7,252,97,0.384920634920635,607,47,0.0774299835255354,391,1017,0.384464110127827
2017,"PHI",786,523,4939,2510,1.50286806883365,284,135,29,20,313,155,0.495207667731629,786,38,0.0483460559796438,583,1309,0.445378151260504
2017,"PIT",726,434,5011,1771,1.67281105990783,234,106,11,7,245,113,0.461224489795918,726,26,0.0358126721763085,534,1160,0.460344827586207
2017,"SEA",705,345,3979,1629,2.04347826086957,227,88,9,5,236,93,0.39406779661017,705,43,0.0609929078014184,433,1050,0.412380952380952
2017,"SF",690,396,4235,1672,1.74242424242424,244,99,18,8,262,107,0.408396946564886,690,43,0.0623188405797101,447,1086,0.411602209944751
2017,"TB",717,363,4607,1457,1.97520661157025,211,96,8,4,219,100,0.45662100456621,717,40,0.0557880055788006,476,1080,0.440740740740741
2017,"TEN",677,461,3863,2119,1.46854663774403,246,99,14,8,260,107,0.411538461538462,677,45,0.0664697193500739,486,1138,0.427065026362039
2017,"WAS",624,380,4093,1458,1.64210526315789,210,72,18,10,228,82,0.359649122807018,624,41,0.0657051282051282,410,1004,0.408366533864542
